"key","ru","en","fr","ja","ge","sp","po","ch"

"OK_KEY","ОК","OK","OK","OK","OK","DE ACUERDO","ESCOLHA","选择"
"BACK_KEY","НАЗАД","BACK","DOS","戻る","zurück","ATRÁS","ATRÁS","返回"
"YES_KEY","ДА","YES","OUI","はい。","ja","Sí","SIM","是的"
"NO_KEY","НЕТ","NO","NON","いいえ。","nein","NO HAY","NÃO","非也。"

"PLAY_KEY","ИГРАТЬ","PLAY","JOUER","遊ぶ","spielen","JUGAR","JOGAR","游戏"
"PROFILE_KEY","ПРОГРЕСС","PROGRESS","PROGRÈS","進捗状況","Fortschritt","PROGRESO","PROGRESSO","进展情况"
"SETTINGS_KEY","НАСТРОЙКИ","SETTINGS","PARAMÈTRES","設定","die Einstellungen","AJUSTES","SINTONIZAÇÃO","设置"
"AUTHORS_KEY","АВТОРЫ","AUTHORS","AUTEURS","著者","AUTOREN","AUTORES","AUTOR","作者"
"EXIT_KEY","ВЫХОД","EXIT","SORTIE","出口","Ausgang","SALIDA","SAÍDA","出口"

"CHAPTER_SELECTION_KEY","ВЫБОР ГЛАВЫ","CHAPTER SELECTION","SÉLECTION DE CHAPITRE","チャプター選択","KAPITEL AUSWÄHLEN","SELECCIÓN DE CAPÍTULOS","SELEÇÃO DE CAPÍTULO","章节选择"
"COMPLETED_LEVELS_KEY","ПРОЙДЕНО УРОВНЕЙ","COMPLETED LEVELS","NIVEAUX PASSÉS","完了したレベル","BESTANDEN EBENEN","NIVELES COMPLETADOS","NÍVEIS PASSADOS","已完成的水平"
"CHAPTER_1_KEY","ГЛАВА 1","CHAPTER 1","CHAPITRE 1","第1章","KAPITEL 1","Capítulo 1","Capítulo 1","第一章"
"CHAPTER_2_KEY","ГЛАВА 2","CHAPTER 2","CHAPITRE 2","第2章","KAPITEL 2","Capítulo 2","Capítulo 2","第二章"
"CHAPTER_3_KEY","ГЛАВА 3","CHAPTER 3","CHAPITRE 3","第3章","KAPITEL 3","Capítulo 3","Capítulo 3","第三章"
"CHAPTER_4_KEY","СЕКРЕТНЫЕ УРОВНИ","SECRET LEVELS","NIVEAUX SECRETS","シークレットレベル","GEHEIME EBENEN","NIVELES SECRETOS","NÍVEIS SECRETOS","秘密级别"
"NUMBER_OF_ITEMS_COLLECTED_KEY","КОЛИЧЕСТВО СОБРАННЫХ ПРЕДМЕТОВ","NUMBER OF ITEMS COLLECTED","NOMBRE D'OBJETS COLLECTÉS","收集物品数目","ANZAHL DER GESAMMELTEN GEGENSTÄNDE","CANTIDAD DE OBJETOS RECOGIDOS","QUANTIDADE DE ITENS RECOLHIDOS","收集物品数目"

"SELECT_LEVEL_KEY","ВЫБОР УРОВНЯ","SELECT LEVEL","SÉLECTION DE NIVEAU","レベル選択","EBENE AUSWÄHLEN","SELECCIÓN DE NIVEL","SELEÇÃO DE NÍVEL","级别选择"

"COLLECTED_ITEMS_KEY","СОБРАННЫЕ ПРЕДМЕТЫ","COLLECTED ITEMS","OBJETS COLLECTÉS","収集したアイテム","GESAMMELTE GEGENSTÄNDE","OBJETOS RECOGIDOS","ITENS COLETADOS","收集物品"
"NUMBER_OF_OPEN_ITEMS_KEY","КОЛИЧЕСТВО ОТКРЫТЫХ ПРЕДМЕТОВ","NUMBER OF OPEN ITEMS","NOMBRE D'OBJETS OUVERTS","開いている項目の数","ANZAHL DER OFFENEN GEGENSTÄNDE","NÚMERO DE OBJETOS ABIERTOS","NÚMERO DE ITENS ABERTOS","开放项目数目"
"NUMBER_OF_DEATHS_KEY","КОЛИЧЕСТВО СМЕРТЕЙ","NUMBER OF DEATHS","NOMBRE DE DÉCÈS","死亡者数","ZAHL DER TODESFÄLLE","NÚMERO DE MUERTES","NÚMERO DE MORTES","死亡人数"
"NUMBER_OF_MURDERS_KEY","КОЛИЧЕСТВО УБИЙСТВ","NUMBER OF KILLS","NOMBRE DE TUES","殺人の数","ZAHL DER MORDE","TASA DE HOMICIDIOS","NÚMERO DE HOMICÍDIOS","谋杀人数"
"NUMBER_OF_JUMPS_KEY","КОЛИЧЕСТВО ПРЫЖКОВ","NUMBER OF JUMPS","NOMBRE DE SAUTS","ジャンプ数","ANZAHL DER SPRÜNGE","NÚMERO DE SALTOS","NÚMERO DE SALTOS","跳跃次数"
"GLOBAL_TIME_KEY","ОБЩЕЕ ВРЕМЯ ИГРЫ","TOTAL GAME TIME","TEMPS DE JEU TOTAL","総ゲーム時間","GESAMTSPIELZEIT","TIEMPO TOTAL DE JUEGO","TEMPO TOTAL DE JOGO","总游戏时间"
"GLOBAL_TIME_SECRET_LEVEL_KEY","ОБЩЕЕ ВРЕМЯ (СЕКРЕТНЫЕ УРОВНИ)","TOTAL TIME (SECRET LEVELS)","TEMPS TOTAL (NIVEAUX SECRETS)","合計時間（秘密のレベル）","GESAMTZEIT (GEHEIME EBENEN)","TIEMPO TOTAL (NIVELES SECRETOS)","TEMPO TOTAL (NÍVEIS SECRETOS)","总时间(秘密级别)"
"NUMBER_OF_GAMES_KEY","КОЛИЧЕСТВО ИГР","NUMBER OF GAMES","NOMBRE DE JEUX","ゲーム数","ANZAHL DER SPIELE","NÚMERO DE JUEGOS","NÚMERO DE JOGOS","游戏数量"

"SOUNDS_KEY","ЗВУКИ","SOUNDS","SONS","音","klaenge","SONIDOS","SOM","声音"
"MUSIC_VOLUME_KEY","ГРОМКОСТЬ МУЗЫКИ","MUSIC VOLUME","VOLUME DE LA MUSIQUE","音楽のボリューム","MUSIKLAUTSTÄRKE","VOLUMEN DE LA MÚSICA","VOLUME DA MÚSICA","音乐音量"
"SOUND_VOLUME_KEY","ГРОМКОСТЬ ЗВУКА","SOUND VOLUME","VOLUME SONORE","音量","LAUTSTÄRKE","VOLUMEN","VOLUME DO SOM","音量"
"VIBRATION_OF_THE_GAMEPAD_KEY","ВИБРАЦИЯ","VIBRATION","VIBRATION","振動","VIBRATION","VIBRACIÓN","VIBRAÇÃO","震动"

